ISO 3166-1 country code, name, latitude, longitude
MX,Tepecoacuilco,18.27723,-99.470387
MX,Iguala,18.349281,-99.539359
MX,Huitzuco,18.306676,-99.335412
MX,Coatlán,16.195208,-96.871982
MX,Chontecomatlán,16.247289,-96.014444
MX,Cuetzala,18.133764,-99.833041
MX,Coatepec,18.3404,-99.721386
MX,Buenavista,18.460005,-99.40848
MX,Yaitepec,16.226282,-97.269525
MX,Lapaguía,16.135989,-96.191981
MX,Jocotepec,16.125831,-97.437151
MX,Xadani,15.949087,-96.073295
MX,Acatlán,17.935309,-99.899832
MX,Tonameca,15.748007,-96.5477
MX,Temaxcaltepec,16.164694,-97.196613
MX,Ozolotepec,16.130832,-96.370868
MX,Tiltepec,16.063026,-97.170748
MX,Colotepec,15.897547,-96.938592
MX,Coatlán,16.234599,-96.721461
MX,Ozolotepec,16.07072,-96.302047
MX,Xanaquía,16.091032,-96.244318
MX,Juquila,16.237931,-97.291357
MX,Río Hondo,16.183837,-96.464433
MX,Coatlán,16.200861,-96.824899
MX,Tututepec,16.129814,-97.60777
MX,Pochutla,15.747566,-96.466643
MX,Ozolotepec,16.145205,-96.348951
MX,Coatlán,16.22369,-96.783165
MX,Suchixtepec,16.09213,-96.464554
MX,Panixtlahuaca,16.260009,-97.37874
MX,Coatlán,16.197609,-96.695835
MX,Río Hondo,16.144154,-96.447911
MX,Piñas,16.000833,-96.333545
MX,Ozolotepec,16.088482,-96.404974
MX,Guivini,16.100625,-96.194331
MX,Coatlán,16.23166,-96.868588
MX,Apango,15.808665,-96.358323
MX,Mixtepec,16.095064,-97.081559
MX,San Francisco,16.093865,-97.609666
MX,Coatlán,16.186748,-96.770482
MX,Loxicha,15.96969,-96.707509
MX,Loxicha,16.079807,-96.790047
MX,Ozolotepec,16.079407,-96.291167
MX,Paxtlán,16.216086,-96.508067
MX,Loxicha,16.016552,-96.616671
MX,San Rafael,28.287798,-107.131589
MX,Chila,22.197254,-98.010169
MX,Horcasitas,29.487367,-110.724789
MX,Mexicali,32.650022,-115.461069
MX,La Paz,24.142297,-110.312738
MX,Campeche,19.838032,-90.527701
MX,San Francisco de Campeche,19.838032,-90.527701
MX,Oaxaca,17.071084,-96.719141
MX,Oaxaca,17.071084,-96.719141
MX,Aguascalientes,21.88234,-102.282586
MX,Tuxtla,16.754689,-93.114852
MX,Chihuahua,28.633333,-106.083333
MX,Saltillo,25.419418,-101.001278
MX,Colima,19.243408,-103.727666
MX,Victoria de Durango,24.020319,-104.657555
MX,Durango,24.020319,-104.657555
MX,Guanajuato,21.018268,-101.256979
MX,Chilpancingo,17.550599,-99.505783
MX,Chilpancingo,17.550599,-99.505783
MX,Pachuca,20.117362,-98.742915
MX,Pachuca,20.117362,-98.742915
MX,Guadalajara,20.666823,-103.391824
MX,Toluca de Lerdo,19.287858,-99.653237
MX,Toluca,19.287858,-99.653237
MX,Morelia,19.70179,-101.183962
MX,Cuernavaca,18.933725,-99.228488
MX,Tepic,21.500797,-104.889357
MX,Monterrey,25.675065,-100.318465
MX,Puebla,19.043336,-98.201926
MX,Puebla,19.043336,-98.201926
MX,Querétaro,20.599774,-100.389933
MX,Santiago de Querétaro,20.599774,-100.389933
MX,Chetumal,18.511377,-88.301003
MX,San Luis Potosí,22.149929,-100.982802
MX,Culiacán,24.807372,-107.397337
MX,Culiacán Rosales,24.807372,-107.397337
MX,Villahermosa,17.986893,-92.930277
MX,Ciudad Victoria,23.741744,-99.145993
MX,Tlaxcala de Xicohténcatl,19.320757,-98.209588
MX,Tlaxcala,19.320757,-98.209588
MX,Xalapa,19.544831,-96.917709
MX,Xalapa-Enríquez,19.544831,-96.917709
MX,Mérida,20.976704,-89.620592
MX,Zacatecas,22.770378,-102.577855
MX,Santa María,23.209454,-98.359243
MX,Llano,22.453154,-99.590577
MX,Chac,18.483333,-88.466667
MX,Cuates,25.95,-97.666667
MX,Buenavista,23.6,-100.25
MX,Buenavista,20.033333,-100.683333
MX,Ahuehuetitlán,17.666667,-97.316667
MX,Guadalupe,23.35,-99.083333
MX,San José,18.416667,-95.583333
MX,Tomaltepec,17.066667,-97.616667
MX,Agua Santa,18.933333,-101.133333
MX,Acatita,25.05,-107.083333
MX,Estancia,21.15,-101.566667
MX,Simojovel,17.2,-92.633333
MX,Iguitlán Plumas,17.85,-97.433333
MX,San José,25.8,-100.916667
MX,Horno,21.266667,-104.1
MX,Xochitlaxco,19.933333,-97.85
MX,Santa Ana,20.366667,-102
MX,San Bartolo,26.916667,-99.633333
MX,Palo Blanco,27.15,-102.2
MX,El Rincón,24.883333,-107.233333
MX,San Francisco,20.216667,-103.7
MX,La Cañada,21.966667,-100.3
MX,Los Placeres,18.083333,-100.766667
MX,Buenavista,24.833333,-98.2
MX,San Lorenzo,19.505278,-99.768333
MX,San José,27.083333,-105.383333
MX,Álamo,25.4,-108.033333
MX,Rancho Viejo,25.366667,-111.8
MX,Coatepec,18.8,-98.65
MX,Estancia,21.7,-102.2
MX,Xonacatepec,19.083333,-98.1
MX,Jicaltepec,16.366667,-98.016667
MX,San Pedro,23.583333,-100.383333
MX,San Isidro,17.633333,-93.25
MX,Montelobos,17.566667,-97.3
MX,Vielma,21.716667,-99.85
MX,Tlacotepec,17.816667,-97.416667
MX,Chapultepec,17.95,-97.916667
MX,Ocotlán,16.8,-96.716667
MX,San Pablo,16.2,-94.05
MX,Alvarez,18.5,-101.7
MX,Yancuitlalpan,18.916667,-98.583333
MX,San Antonio,21.116667,-88.866667
MX,Nogalillos,24.647222,-99.628889
MX,Punta Gorda,30.7,-115.983333
MX,San Isidro,20.383333,-100.433333
MX,Juárez,31.733333,-106.483333
MX,Corrales,24.95,-106.2
MX,Gigante,21.183333,-101.566667
MX,Cieneguita,25.566667,-100.116667
MX,Piloto,20.083333,-105.316667
MX,Paredones,31.066667,-111.733333
MX,Teotlaxco,17.55,-96.366667
MX,Refugio,25.85,-97.666667
MX,San Pedro,22.783333,-104.566667
MX,Toavela,17.533333,-96.083333
MX,Ovando,19.033333,-97.8
MX,San Pedro,17.7,-93.983333
MX,Macapexco,19.666667,-99.5
MX,Xaltatempa,19.75,-97.816667
MX,San José,21.166667,-101.65
MX,San Pedro,19.908889,-99.959167
MX,Mazatla,19.513889,-99.388611
MX,San José,16.366667,-91.833333
MX,San Luis,24.05,-105.716667
MX,Tecamachalco,19.416667,-99.233333
MX,San Rafael,28.866667,-107.766667
MX,Coyotepec,17.55,-97.283333
MX,Sauces,24.733333,-104.866667
MX,Puerto,21,-99.866667
MX,Agua Fría,23.773386,-106.609936
MX,Tlalixtac,17.072485,-96.646665
MX,Tlacolula,16.955861,-96.475707
MX,Tlacochahuaya,17.008783,-96.583776
MX,Lachitaá,17.266134,-96.144745
MX,Jalieza,16.844688,-96.670635
MX,Santo Tomás,16.777999,-96.236162
MX,Xagacía,17.15475,-96.267757
MX,Tepuxtepec,16.955724,-96.057774
MX,Jalieza,16.869421,-96.629081
MX,Amatlán,16.296252,-96.447116
MX,Lalopa,17.418922,-96.248284
MX,Zoquitlán,16.559354,-96.353842
MX,Yavesía,17.236578,-96.430829
MX,Yalina,17.246331,-96.279244
MX,Yacochi,17.140525,-96.051032
MX,Tepantlali,16.995811,-96.008282
MX,Lovaní,17.51532,-96.079012
MX,Cajonos,17.160464,-96.208215
MX,Tlapasola,16.912086,-96.524046
MX,Quiavini,16.89498,-96.467594
MX,Mixtepec,16.293179,-96.341252
MX,Ixtlahuacán,20.348605,-103.19336
MX,Albarradas,17.067642,-96.200475
MX,Zoochila,17.221905,-96.242539
MX,Yagalló,17.42438,-96.296571
MX,Matatlán,16.865396,-96.382973
MX,Laxopa,17.221924,-96.310342
MX,Buenavista,26.784858,-106.744875
MX,Jaltianguis,17.363995,-96.528315
MX,Xitla,16.327673,-96.670892
MX,Yalalag,17.186653,-96.17677
MX,Yateé,17.305697,-96.164161
MX,Lachigoló,17.01595,-96.600411
MX,Cajonos,17.172074,-96.249989
MX,Ocotlán,16.74696,-96.680431
MX,Zapotitán,20.326412,-103.478406
MX,Yareni,17.39653,-96.610745
MX,Santa Ana,16.995215,-96.470533
MX,Guiloxi,17.228236,-96.28982
MX,Abasolo,16.993868,-96.587764
MX,Ayutla,17.027663,-96.076656
MX,Totolapan,16.670751,-96.308025
MX,Taviche,16.638353,-96.536538
MX,Quiatoni,16.783241,-96.030746
MX,Nexicho,17.263628,-96.586802
MX,Mixtepec,16.271164,-96.284478
MX,Quiechapa,16.415259,-96.244757
MX,Yetzecovi,17.362583,-96.128794
MX,Yatzona,17.400646,-96.169124
MX,Yalahui,17.406154,-96.137539
MX,Yaé,17.429589,-96.283068
MX,Lachigalla,16.58916,-96.550706
MX,Guelavía,16.95421,-96.543052
MX,Analco,17.405538,-96.537696
MX,Coatecas,16.544889,-96.70007
MX,Chilateca,16.83042,-96.669153
MX,Chicomezúchil,17.287465,-96.496227
MX,Atepec,17.4286,-96.539125
MX,Ocotepec,16.804865,-96.392124
MX,Lachirioag,17.336517,-96.164773
MX,Amatlán,16.318405,-96.411711
MX,Yautepec,16.497587,-96.106148
MX,Guelavila,16.796539,-96.306731
MX,Chichicapan,16.761391,-96.488697
MX,Tlajomulco,20.474208,-103.446536
MX,Tizapán,20.161375,-103.043966
MX,Teocuitatlán,20.092233,-103.377998
MX,Cojumatlán,20.118578,-102.851817
MX,Calera,20.161148,-102.89846
MX,Atotonilco,20.350362,-103.67342
MX,Chivaguela,16.45781,-96.190454
MX,Buenavista,16.939317,-96.63225
MX,Yatuni,17.251216,-96.401413
MX,Yaá,17.293141,-96.153786
MX,Solaga,17.271642,-96.234167
MX,Miahuatlán,16.332695,-96.595577
MX,Teitipac,16.903715,-96.55777
MX,Coatecas,16.536264,-96.668631
MX,Teotitlán,17.030408,-96.518916
MX,Monjas,16.369761,-96.640951
MX,Jalieza,16.883865,-96.616116
MX,Yetzelalag,17.451994,-96.168058
MX,Quioquitanis,16.31569,-96.286786
MX,Minas,16.779847,-96.615463
MX,Lachatao,17.269368,-96.470263
MX,Ixtepeji,17.268127,-96.561591
MX,Cuixtla,16.306646,-96.644072
MX,Santa María,20.602184,-103.399753
MX,Santa Cruz,20.375137,-102.863823
MX,Santa Cruz,20.746607,-103.642815
MX,Santa Cruz,20.621834,-103.260277
MX,Santa Cruz,20.481247,-103.501615
MX,Mixtepec,16.325754,-96.326331
MX,Huayapan,17.10309,-96.664231
